Model,Epoch,Accuracy,Loss
Keras,0,0.5,0.7383299469947815
Keras,1,0.49666666984558105,0.715880811214447
Keras,2,0.49000000953674316,0.6977036595344543
Keras,3,0.4933333396911621,0.6817607879638672
Keras,4,0.54666668176651,0.6671814322471619
Keras,5,0.6233333349227905,0.6538239121437073
Keras,6,0.7166666388511658,0.6396698951721191
Keras,7,0.7633333206176758,0.6248378753662109
Keras,8,0.79666668176651,0.608914852142334
Keras,9,0.8033333420753479,0.5917820930480957
Keras,10,0.8100000023841858,0.5734841823577881
Keras,11,0.8166666626930237,0.554084837436676
Keras,12,0.8199999928474426,0.5336843729019165
Keras,13,0.8166666626930237,0.5124735832214355
Keras,14,0.8199999928474426,0.49251800775527954
Keras,15,0.8333333134651184,0.4715481698513031
Keras,16,0.8399999737739563,0.45135849714279175
Keras,17,0.846666693687439,0.4336165487766266
Keras,18,0.8533333539962769,0.41483765840530396
Keras,19,0.8500000238418579,0.3995346426963806
Keras,20,0.8500000238418579,0.3864766061306
Keras,21,0.8500000238418579,0.3757544457912445
Keras,22,0.8533333539962769,0.36673253774642944
Keras,23,0.8533333539962769,0.3595094084739685
Keras,24,0.8566666841506958,0.35344988107681274
Keras,25,0.8566666841506958,0.3487412631511688
Keras,26,0.8533333539962769,0.34502148628234863
Keras,27,0.8533333539962769,0.34154415130615234
Keras,28,0.8533333539962769,0.3391004800796509
Keras,29,0.8500000238418579,0.3368522524833679
Keras,30,0.8566666841506958,0.33518731594085693
Keras,31,0.8566666841506958,0.33363625407218933
Keras,32,0.8566666841506958,0.33230164647102356
Keras,33,0.8533333539962769,0.33134540915489197
Keras,34,0.8500000238418579,0.3305448591709137
Keras,35,0.8500000238418579,0.3297019600868225
Keras,36,0.8500000238418579,0.32914653420448303
Keras,37,0.8500000238418579,0.3283694088459015
Keras,38,0.8500000238418579,0.3277361989021301
Keras,39,0.8500000238418579,0.32715973258018494
Keras,40,0.8500000238418579,0.32677698135375977
Keras,41,0.8500000238418579,0.32625797390937805
Keras,42,0.8500000238418579,0.3256727457046509
Keras,43,0.8500000238418579,0.325121134519577
Keras,44,0.8500000238418579,0.32509347796440125
Keras,45,0.8500000238418579,0.3241458833217621
Keras,46,0.8500000238418579,0.3247666358947754
Keras,47,0.8533333539962769,0.3240228295326233
Keras,48,0.8500000238418579,0.32324957847595215
Keras,49,0.8566666841506958,0.3233340382575989
Keras,50,0.8566666841506958,0.3231078088283539
Keras,51,0.8566666841506958,0.32263830304145813
Keras,52,0.8566666841506958,0.3222985863685608
Keras,53,0.8533333539962769,0.3219197392463684
